Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64%,France,3.0,Criollo (Porcelana),Papua New Guinea
Desbarres,"Kilombero, batch 41",1916,2016,72%,Canada,2.5,blend,Tanzania
DeVries,Costa Rica,166,2007,77%,U.S.A.,3.5,Trinitario,Costa Rica
DeVries,Dominican Republic,166,2007,77%,U.S.A.,3.5,Trinitario,Dominican Republic
DeVries,Bolivian,241,2008,80%,U.S.A.,2.75,Criollo (Ocumare 67),Bolivia
Dick Taylor,La Red,769,2011,74%,U.S.A.,3.0,Criollo,Dominican Republic
Dick Taylor,Ecuador,769,2011,70%,U.S.A.,3.25,Criollo (Amarru),Ecuador
Dick Taylor,Sambirano,661,2011,72%,U.S.A.,3.0,Trinitario,Madagascar
Dick Taylor,Sambirano,661,2011,80%,U.S.A.,2.75,Trinitario,Madagascar
Dick Taylor,Mantuano,682,2011,75%,U.S.A.,2.75,Criollo,Venezuela
Dick Taylor,Belize,955,2012,72%,U.S.A.,2.75,Trinitario,Belize
Dick Taylor,Bolivia,895,2012,75%,U.S.A.,2.75,"Criollo, Forastero",Bolivia
Dick Taylor,Camino Verde,1193,2013,76%,U.S.A.,3.5,Forastero (Arriba) ASSS,Ecuador
Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,70%,U.S.A.,3.25,Criollo (Ocumare),Ecuador
Dick Taylor,Elvesia,1235,2014,74%,U.S.A.,3.5,"Blend-Forastero,Criollo",Dominican Republic
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70%,U.S.A.,3.75,"Forastero, Trinitario",Bolivia
Dick Taylor,Tien Giang,1864,2016,78%,U.S.A.,3.5,Trinitario,Vietnam
Dick Taylor,"Fazenda Camboa, Bahia, batch 17009",1972,2017,75%,U.S.A.,3.75,"Criollo, Trinitario",Brazil
Dick Taylor,Lanquin Estate,1952,2017,70%,U.S.A.,3.75,Criollo (Porcelana),Guatemala
Dick Taylor,"Solomon Is.,batch 17158, N.Vela",2016,2017,72%,U.S.A.,4.0,Criollo (Porcelana),Solomon Islands
Doble & Bignall,Johe,1407,2014,72%,U.K.,3.5,"Criollo, Trinitario",Nicaragua
Doble & Bignall,"Panama, Raven",1371,2014,72%,U.K.,3.25,Forastero (Parazinho),Panama
Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,72%,U.K.,3.25,Trinitario,Venezuela
Doble & Bignall,Puerto Cabello,1688,2015,85%,U.K.,3.0,Trinitario (Amelonado),Venezuela
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70%,U.S.A.,3.75,Nacional,Hawaii
Dolfin (Belcolade),Noir,63,2006,70%,Belgium,1.5,blend,"Peru, Ecuador"
Dolfin (Belcolade),Africa,304,2008,88%,Belgium,3.0,Forastero,West Africa
Domori,Apurimac,87,2006,70%,Italy,3.25,Trinitario,Peru
Domori,Carenero Superior,87,2006,70%,Italy,3.5,Trinitario,Venezuela
Domori,Sur del Lago Classificado,87,2006,70%,Italy,3.0,Trinitario,Venezuela
Domori,Ecuador,192,2007,70%,Italy,4.0,Forastero (Arriba),Ecuador
Domori,"Java, Javablond",192,2007,70%,Italy,3.75,Criollo,Indonesia
Domori,Madagascar,135,2007,70%,Italy,3.5,Trinitario,Madagascar
Domori,Madagared,192,2007,70%,Italy,3.5,Criollo,Madagascar
Domori,Porcelana,111,2007,70%,Italy,4.0,Criollo (Porcelana),Venezuela
Domori,"Ocumare 67, Puertofino",192,2007,70%,Italy,4.0,Criollo (Ocumare 67),Venezuela
Domori,"Ocumare 61, Puertomar",129,2007,75%,Italy,3.25,Criollo (Ocumare 61),Venezuela
Domori,Granella,135,2007,60%,Italy,3.25,Trinitario,Venezuela
Domori,Teyuna,272,2008,70%,Italy,3.0,CCN51,Colombia
Domori,"Carupano, H. San Jose",227,2008,70%,Italy,3.0,Trinitario,Venezuela
Domori,Ilblend,272,2008,70%,Italy,3.75,Blend,"Peru, Belize"
Domori,Blend No. 1,272,2008,78%,Italy,3.5,Blend,Vanuatu
Domori,"Chuao, Hacienda San Jose",470,2010,70%,Italy,3.0,Trinitario,Venezuela
Domori,"Canoabo, Hacienda San Jose",693,2011,70%,Italy,3.5,Criollo,Venezuela
Domori,Morogoro,863,2012,70%,Italy,3.5,Criollo (Ocumare),Tanzania
Domori,Guasare,863,2012,70%,Italy,3.75,Criollo,Venezuela
Domori,"IL100, H. San Jose",1109,2013,100%,Italy,3.0,Criollo,Venezuela
Domori,Hacienda Victoria,1672,2015,70%,Italy,3.75,"Forastero(Arriba, CCN)",Ecuador
Domori,Ocumare 77,1672,2015,70%,Italy,3.75,Criollo (Ocumare 77),Venezuela
Domori,Tanzania,2040,2018,70%,Italy,4.0,Criollo (Amarru),Tanzania
Dormouse,"Colombia, Batch 9",1676,2015,80%,U.K.,2.75,"Criollo, Trinitario",Colombia
Dormouse,"Madagascar, Batch 8",1676,2015,77%,U.K.,2.75,"Criollo, Trinitario",Madagascar
Dormouse,"Rio Caribe, Batch 7",1672,2015,70%,U.K.,2.5,Trinitario,Venezuela
Dormouse,Non Pariel Estate,1880,2016,75%,U.K.,2.75,Trinitario,Grenada
Dormouse,"Verapaz, batch 254",2052,2018,72%,U.K.,3.5,Trinitario,Guatemala
Dormouse,"Piura, batch 274",2096,2018,80%,U.K.,3.5,Forastero (Amelonado),Peru
Dormouse,"Kablon Farm, batch 242",2052,2018,71.50%,U.K.,2.75,"Trinitario, Criollo",Philippines
Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,72%,U.K.,3.75,Criollo (Ocumare 61),Ecuador
Duffy's,Star of Ecuador,523,2010,70%,U.K.,2.5,"Trinitario, Nacional",Ecuador
Duffy's,Panama,516,2010,70%,U.K.,3.5,Amazon,Panama
Duffy's,Star of Peru,523,2010,70%,U.K.,3.75,Criollo,Peru
Duffy's,Dominican Republic,661,2011,65%,U.K.,3.5,Criollo (Ocumare 67),Dominican Republic
Duffy's,"Indio Rojo, Xoco",623,2011,72%,U.K.,3.75,Criollo,Honduras
Duffy's,"Nicaliso, Xoco",697,2011,71%,U.K.,3.25,Criollo,Nicaragua
Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,72%,U.K.,3.0,"Blend-Forastero,Criollo",Panama
Duffy's,Ocumare,765,2011,71%,U.K.,3.5,"Forastero(Arriba, CCN)",Venezuela
Duffy's,Ocumare,923,2012,72%,U.K.,3.75,Criollo (Amarru),Venezuela
Duffy's,"Rico Rugoso, Xoco",1331,2014,76%,U.K.,3.75,Criollo,Nicaragua
Duffy's,"Chuno, Xoco",1331,2014,70%,U.K.,3.5,Criollo,Nicaragua
Duffy's,"Rio Dulce, Xoco",1662,2015,70%,U.K.,4.0,Criollo,Guatemala
Duffy's,Eti-Oni,1964,2017,70%,U.K.,2.75,Criollo (Amarru),Nigeria
Dulcinea,Dominican Republic,1506,2015,70%,U.S.A.,3.25,"Trinitario, Nacional",Dominican Republic
Durand,Madagascar,841,2012,82%,France,2.75,Trinitario,Madagascar
Durci,Taino Secret,1630,2015,70%,U.S.A.,3.25,Blend,Dominican Republic
Durci,Corona Arriba,1630,2015,70%,U.S.A.,4.0,Forastero (Amelonado),Ecuador
Durci,"Maranon, Joya Rara",1626,2015,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Durci,"Rio Caribe, Tepui Treasure",1626,2015,70%,U.S.A.,3.5,Trinitario,Venezuela
Durci,"Carenero, Empyrean Sabor",1630,2015,70%,U.S.A.,3.25,Trinitario,Venezuela
Durci,Piura Blanco,2040,2018,70%,U.S.A.,4.0,Forastero (Arriba) ASS,Peru
East Van Roasters,Dominican Republic,1343,2014,70%,Canada,3.75,Forastero (Parazinho),Dominican Republic
East Van Roasters,Madagascar,1343,2014,70%,Canada,3.5,Trinitario,Madagascar
East Van Roasters,Peru,1343,2014,70%,Canada,3.25,Criollo (Ocumare 67),Peru
Eau de Rose,Tumaco,1812,2016,70%,Canada,3.25,Nacional (Arriba),Colombia
Eau de Rose,Arauca,1812,2016,70%,Canada,3.25,Forastero (Arriba),Colombia
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,72%,U.S.A.,2.75,Forastero (Nacional),Peru
Edelmond,Porcelana,1876,2016,68%,Germany,3.0,Criollo,Venezuela
El Ceibo,Alto Beni,252,2008,71%,Bolivia,2.75,Criollo,Bolivia
El Ceibo,"Alto Beni, Covendo Region",709,2011,75%,Bolivia,3.75,Criollo (Wild),Bolivia
El Rey,"Carenero Superior, Gran Saman",32,2006,70%,Venezuela,2.75,Criollo,Venezuela
El Rey,"Carenero Superior, Mijao",206,2008,61%,Venezuela,3.0,Criollo,Venezuela
El Rey,"Carenero Superior, Apamate",206,2008,74%,Venezuela,2.5,Criollo,Venezuela
El Rey,"Carenero Superior, Bucare",206,2008,58%,Venezuela,2.5,Criollo,Venezuela
El Rey,"Rio Caribe, Macuro",439,2009,70%,Venezuela,3.0,Trinitario,Venezuela
El Rey,"Rio Caribe, Cariaco",439,2009,60.5%,Venezuela,2.75,Trinitario,Venezuela
El Rey,San Joaquin,1662,2015,70%,Venezuela,3.75,"Trinitario, Criollo",Venezuela
Emerald Estate,Emerald Estate,1137,2013,70%,St. Lucia,3.25,Trinitario,St. Lucia
Emerald Estate,Emerald Estate,1137,2013,60%,St. Lucia,2.75,Amazon mix,St. Lucia
Emily's,Peru,1454,2015,78%,Japan,3.5,Criollo,Peru
Emily's,Patanemo,1450,2015,79%,Japan,3.0,Criollo (Amarru),Venezuela
ENNA,"Wampusirpi, batch 007",1916,2016,75%,U.S.A.,3.25,"Trinitario, Forastero",Honduras
Enric Rovira (Claudio Corallo),Terreiro Velho P.,565,2010,80%,Spain,3.25,Forastero,Sao Tome & Principe
Erithaj (A. Morin),Ben Tre,1205,2014,70%,France,3.25,Trinitario,Vietnam
Erithaj (A. Morin),Ba Lai,1209,2014,74%,France,3.25,Trinitario,Vietnam
Erithaj (A. Morin),Ham Luong,1209,2014,80%,France,3.0,Trinitario,Vietnam
Escazu,Ocumare,252,2008,72%,U.S.A.,3.0,Criollo,Venezuela
Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,74%,U.S.A.,2.75,"Trinitario, TCGA","Cost Rica, Ven"
Escazu,Guapiles,414,2009,65%,U.S.A.,2.0,Criollo (Porcelana),Costa Rica
Escazu,Carenero Superior,423,2009,81%,U.S.A.,3.5,Criollo,Venezuela
Escazu,Rio Caribe,903,2012,70%,U.S.A.,2.75,Trinitario,Venezuela
Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,55%,U.S.A.,2.5,Blend,"Peru, Madagascar"
Ethel's Artisan (Mars),Trinidad,666,2011,55%,U.S.A.,2.5,Trinitario,Trinidad
Ethel's Artisan (Mars),Porcelana,666,2011,70%,U.S.A.,2.5,Criollo (Porcelana),Venezuela
Ethel's Artisan (Mars),"Venezuela, Trinidad",672,2011,62%,U.S.A.,2.5,Trinitario (Amelonado),"Venezuela, Trinidad"
Ethel's Artisan (Mars),Red Vanilla,666,2011,62%,U.S.A.,2.75,Forastero (Amelonado),"Africa, Carribean, C. Am."
Ethereal,Belize,1275,2014,80%,U.S.A.,3.0,Trinitario,Belize
Ethereal,Dominican Republic,1275,2014,80%,U.S.A.,3.75,Amazon,Dominican Republic
Ethereal,Ecuador,1275,2014,80%,U.S.A.,3.5,Criollo (Ocumare 61),Ecuador
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",565,2010,75%,U.S.A.,2.75,"Trinitario, Forastero",Brazil
Feitoria Cacao,Maya Mountain,1736,2016,76%,Portugal,2.75,Trinitario,Belize
Feitoria Cacao,Blue Mountain,1732,2016,76%,Portugal,3.0,"Trinitario, Criollo",Jamaica
Feitoria Cacao,Cuyagua,1736,2016,76%,Portugal,2.5,Forastero (Amelonado),Venezuela
Felchlin,"Alto Beni, Cru Savage",56,2006,68%,Switzerland,4.0,Criollo (Wild),Bolivia
Felchlin,Elvesia P.,105,2006,74%,Switzerland,3.0,"Trinitario, Criollo",Dominican Republic
Felchlin,Arriba,48,2006,72%,Switzerland,3.5,Forastero (Arriba),Ecuador
Felchlin,"Madagascar, Grand Cru",48,2006,64%,Switzerland,3.0,Criollo,Madagascar
Felchlin,Maracaibo Clasificado,48,2006,65%,Switzerland,3.0,Criollo,Venezuela
Felchlin,Supremo- SF,105,2006,62%,Switzerland,2.0,Amazon,Uganda
Felchlin,Grenada,494,2010,58%,Switzerland,3.5,Trinitario,Grenada
Finca,Dominican Republic,1283,2014,70%,U.S.A.,3.25,blend,Dominican Republic
Finca,Dominican Republic,1283,2014,80%,U.S.A.,3.0,Forastero,Dominican Republic
Finca,Dominican Republic,1287,2014,85%,U.S.A.,2.5,Forastero (Parazinho),Dominican Republic
Finca,Puerto Rico,1283,2014,65%,U.S.A.,2.25,Trinitario (Amelonado),Puerto Rico
Forever Cacao,Rio Eni,1267,2014,72%,U.K.,2.75,Criollo,Peru
Forteza (Cortes),Dominican Republic,1776,2016,70%,Puerto Rico,2.75,Blend,Dominican Republic
Forteza (Cortes),Puerto Rico,1776,2016,80%,Puerto Rico,2.75,"Trinitario, Criollo",Dominican Republic
Fossa,"Camino Verde P., Balao, Guayas",1776,2016,75%,Singapore,3.5,Criollo (Amarru),Ecuador
Fossa,"Akesson's E., Sambirano V.",1772,2016,70%,Singapore,2.75,Nacional (Arriba),Madagascar
Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,67%,Singapore,3.75,Trinitario,Tanzania
Fossa,Alto Beni,2072,2018,70%,Singapore,3.0,EET,Bolivia
Fossa,Oko Caribe,2076,2018,72%,Singapore,2.75,Forastero (Amelonado),Dominican Republic
Fossa,Pisa,2072,2018,68%,Singapore,3.5,blend,Haiti
Fossa,"Pak Eddy Farm, Yogyakarta Region",2072,2018,70%,Singapore,3.0,"Criollo, +",Indonesia
Fossa,Davao,2072,2018,70%,Singapore,3.25,Criollo (Porcelana),Philippines
Franceschi,Canoabo,911,2012,70%,Venezuela,3.75,Forastero (Catongo),Venezuela
Franceschi,Sur del Lago,915,2012,60%,Venezuela,3.5,"Amazon, ICS",Venezuela
Franceschi,Ocumare,1355,2014,70%,Venezuela,3.75,"Forastero(Arriba, CCN)",Venezuela
Franceschi,Choroni,1355,2014,70%,Venezuela,3.5,Criollo (Wild),Venezuela
Franceschi,Rio Caribe,2044,2018,60%,Venezuela,2.5,Trinitario,Venezuela
Franceschi,Sur del Lago,2100,2018,70%,Venezuela,3.0,Trinitario,Venezuela
Franceschi,Carenero,2100,2018,70%,Venezuela,3.25,Trinitario,Venezuela
Frederic Blondeel,Ghana,1351,2014,60%,Belgium,3.5,Forastero,Ghana
Frederic Blondeel,Madagascar,1351,2014,65%,Belgium,3.5,Trinitario,Madagascar
Frederic Blondeel,Costa Rica,1538,2015,70%,Belgium,3.5,Trinitario,Costa Rica
Frederic Blondeel,Peru Brutus,1538,2015,75%,Belgium,3.5,Trinitario (Scavina),Peru
Frederic Blondeel,Vietnam,1542,2015,80%,Belgium,3.0,Trinitario,Vietnam
French Broad,La Red,785,2011,65%,U.S.A.,3.5,Trinitario (Amelonado),Dominican Republic
French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,70%,U.S.A.,3.5,Forastero (Nacional),Peru
French Broad,"Palo Blanco, Chulucanas",883,2012,61%,U.S.A.,3.5,"Criollo, +",Peru
French Broad,Tumbes Coop,883,2012,70%,U.S.A.,2.5,Criollo,Peru
French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,81%,U.S.A.,2.0,Trinitario (85% Criollo),Peru
French Broad,"Palo Blanco, Chulucanas",1042,2013,66%,U.S.A.,3.5,"Criollo, Trinitario",Peru
French Broad,San Andres,1209,2014,80%,U.S.A.,3.0,Criollo (Porcelana),Costa Rica
French Broad,Matagalpa,1295,2014,68%,U.S.A.,3.25,Nacional (Arriba),Nicaragua
French Broad,Guatemala,1634,2015,73%,U.S.A.,3.5,"Trinitario, Nacional",Guatemala
French Broad,"Norandino, batch 161208",1940,2017,70%,U.S.A.,3.5,Criollo,Peru
Fresco,"Jamaica, #205, DR, MC",370,2009,70%,U.S.A.,3.25,Trinitario,Jamaica
Fresco,"Jamaica, #206, DR, LC",370,2009,70%,U.S.A.,3.0,Trinitario,Jamaica
Fresco,"Jamaica, #204, DR, SC",370,2009,80%,U.S.A.,2.75,Trinitario,Jamaica
Fresco,"Carenero Superior, #203, MR, SC",370,2009,65%,U.S.A.,3.5,Criollo,Venezuela
Fresco,"Conacado, #212, LR, SC",642,2011,72%,U.S.A.,3.5,Criollo (Ocumare 77),Dominican Republic
Fresco,"Conacado, #213, DR, -C",682,2011,72%,U.S.A.,3.25,"Criollo, Trinitario",Dominican Republic
Fresco,"Ghana, #211, MR, MC",636,2011,74%,U.S.A.,2.75,Forastero,Ghana
Fresco,"Jamaica, #210, DR, MC",642,2011,70%,U.S.A.,3.5,Trinitario,Jamaica
Fresco,"Jamaica, #209, DR, SC",642,2011,70%,U.S.A.,3.25,Trinitario,Jamaica
Fresco,"Sambirano Valley, #215, MR, MC",688,2011,74%,U.S.A.,3.0,Trinitario,Madagascar
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,74%,U.S.A.,2.75,Trinitario,Madagascar
Fresco,"Chuao, #217, DR, MC",745,2011,70%,U.S.A.,4.0,Trinitario,Venezuela
Fresco,"Chuao, #218, MR, MC",745,2011,76%,U.S.A.,3.25,Trinitario,Venezuela
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,74%,U.S.A.,4.0,Trinitario,Madagascar
Fresco,"Markham Valley, #220, MR, MC",927,2012,69%,U.S.A.,4.0,Trinitario,Papua New Guinea
Fresco,"Markham Valley, #219, LR, MC",899,2012,69%,U.S.A.,3.5,Forastero (Arriba) ASSS,Papua New Guinea
Fresco,"Markham Valley, #221, DR, MC",899,2012,69%,U.S.A.,3.5,Forastero (Arriba) ASSS,Papua New Guinea
Fresco,"Markham Valley, #222, LR, 0C",931,2012,69%,U.S.A.,3.0,Trinitario,Papua New Guinea
Fresco,"Conacado, #224, MR, MC",1081,2013,72%,U.S.A.,3.75,Criollo (Ocumare),Dominican Republic
Fresco,"Conacado, #223, MR, SC",1030,2013,72%,U.S.A.,3.25,blend,Dominican Republic
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70%,U.S.A.,4.0,Trinitario,Peru
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70%,U.S.A.,3.75,"Trinitario, Forastero",Peru
Fresco,"Maranon, #227, LR, MC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #229, MR, LC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #230, DR, LC",1387,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #228, MR, SC",1383,2014,70%,U.S.A.,3.0,Forastero (Nacional),Peru
Fresco,"Polochic Valley, MR, LC, batch 17-189",2024,2017,70%,U.S.A.,3.75,Forastero (Nacional),Guatemala
Fresco,"Polochic Valley, LR, LC, batch 17-203",2024,2017,70%,U.S.A.,3.5,"Criollo, Trinitario",Guatemala
Fresco,"Polochic Valley, DR, LC, batch 17-201",2028,2017,70%,U.S.A.,3.5,Beniano,Guatemala
Fresh Coast,"Fazenda Camboa, Bahia",2000,2017,70%,U.S.A.,3.5,Matina,Brazil
Fresh Coast,"Kokoa Kamili, Kilombero District",2000,2017,70%,U.S.A.,3.75,Forastero (Catongo),Tanzania
Fresh Coast aka Just Good Choc.,Belize,1375,2014,70%,U.S.A.,3.5,Trinitario,Belize
Fresh Coast aka Just Good Choc.,Madagascar,1375,2014,70%,U.S.A.,3.5,Trinitario,Madagascar
Fresh Coast aka Just Good Choc.,Peru,1375,2014,70%,U.S.A.,4.0,"Forastero(Arriba, CCN)",Peru
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70%,Denmark,3.5,Amazon,Nicaragua
Friis Holm,Barba,1956,2017,70%,Denmark,3.75,Criollo (Ocumare),Nicaragua
Friis Holm (Bonnat),"Chuno, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Johe, Xoco",623,2011,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Red Mayan, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Honduras
Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,70%,Denmark,3.75,Trinitario,Nicaragua
Friis Holm (Bonnat),"Chuno, triple turned, Xoco",895,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Chuno, double turned, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70%,Denmark,3.5,Beniano,Nicaragua
Friis Holm (Bonnat),"Barba, Xoco",1034,2013,70%,Denmark,3.25,Trinitario (Scavina),Nicaragua
Friis Holm (Bonnat),La Dalia,1259,2014,70%,Denmark,3.5,Criollo (Ocumare 61),Nicaragua
Friis Holm (Bonnat),La Dalia,1680,2015,85%,Denmark,3.25,Trinitario (Scavina),Nicaragua
Friis Holm (Bonnat),La Dalia,1680,2015,60%,Denmark,3.0,"Trinitario, Forastero",Nicaragua
Fruition,Signature Blend,753,2011,66%,U.S.A.,3.25,Trinitario,Costa Rica
Fruition,Costa Rica,781,2011,70%,U.S.A.,3.0,Forastero (Amelonado),Costa Rica
Fruition,Peru,863,2012,70%,U.S.A.,2.5,Nacional,Peru
Fruition,La Red,1046,2013,70%,U.S.A.,3.75,"Trinitario, Criollo",Dominican Republic
Fruition,Camino Verde,1185,2013,75%,U.S.A.,3.0,Forastero (Catongo),Ecuador
Fruition,Maranon,1359,2014,76%,U.S.A.,3.0,Forastero (Nacional),Peru
Fruition,Gran Couva,1347,2014,70%,U.S.A.,3.75,Trinitario,Trinidad
Fruition,"Wild Bolivian, Batch 2",1780,2016,74%,U.S.A.,3.75,Beniano,Bolivia
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,74%,U.S.A.,4.0,Amazon mix,Costa Rica
Garden Island,"Kaua'I, Alea Estate +world",1367,2014,85%,U.S.A.,2.5,Blend,Hawaii
Georgia Ramon,Conacado Coop,1646,2015,70%,Germany,3.5,Trinitario,Dominican Republic
Georgia Ramon,Conacado Coop,1646,2015,80%,Germany,3.5,Trinitario,Dominican Republic
Georgia Ramon,ABOCFA Coop,1642,2015,70%,Germany,4.0,Forastero,Ghana
Georgia Ramon,Akesson P.,1646,2015,75%,Germany,3.5,Trinitario,Madagascar
Georgia Ramon,Akesson P.,1642,2015,65%,Germany,3.25,Trinitario,Madagascar
Georgia Ramon,"Rabot Estate, Island Growers",2012,2017,77%,Germany,3.5,"Trinitario, Nacional",St. Lucia
Georgia Ramon,"H. La Orquidea, Santa Barbara, Zulia",2012,2017,75%,Germany,3.5,Criollo (Porcelana),Venezuela
Georgia Ramon,Cahabon E.,2096,2018,72%,Germany,2.75,Trinitario,Guatemala
Glennmade,Bahia,1672,2015,66%,U.S.A.,3.0,"Trinitario, Forastero",Brazil
Glennmade,"Toledo District, 2015 Harvest",1848,2016,70%,U.S.A.,3.5,"Criollo, Forastero",Belize
Gonzales,Chuao,2076,2018,70%,U.S.A.,3.0,Forastero (Amelonado),Venezuela
Goodnow Farms,"Asochivite, batch 1005",1924,2016,77%,U.S.A.,3.25,Forastero (Catongo),Guatemala
Goodnow Farms,"Almendra Blanca, batch 1004",1924,2016,77%,U.S.A.,2.75,"Trinitario, Nacional",Mexico
Goodnow Farms,"El Carmen, batch 1003",1924,2016,77%,U.S.A.,3.25,Amazon,Nicaragua
Goodnow Farms,"Ucayali, batch 1041",2032,2017,70%,U.S.A.,3.25,Nacional (Arriba),Peru
Grand Place,"Ben Tre, Dong Nai",741,2011,72%,Vietnam,3.0,Trinitario,Vietnam
Green & Black's (ICAM),Dark,15,2006,70%,U.K.,2.5,Criollo (Ocumare),"Peru, Madagascar"
Green Bean to Bar,Madagascar,1896,2016,70%,Japan,3.5,Nacional,Madagascar
Grenada Chocolate Co.,Grenada,241,2008,71%,Grenada,2.5,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,363,2009,60%,Grenada,2.75,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,494,2010,82%,Grenada,3.25,Trinitario,Grenada
Guido Castagna,Arriba,355,2009,64%,Italy,3.0,Forastero (Arriba) ASS,Ecuador
Guido Castagna,Ghana,355,2009,64%,Italy,3.0,Forastero,Ghana
Guido Castagna,Trinidad & Tobago,355,2009,64%,Italy,3.0,Criollo (Ocumare 77),"Trinidad, Tobago"
Guido Castagna,Blend,355,2009,64%,Italy,3.25,CCN51,"Ven, Trinidad, Ecuador"
Guido Castagna,Lacri Blend,355,2009,76%,Italy,3.0,"Forastero(Arriba, CCN)",Venezuela
Guido Castagna,Madagascar,2060,2018,70%,Italy,2.75,Nacional (Arriba),Madagascar
Guittard,Chucuri,15,2006,65%,U.S.A.,3.0,Trinitario,Colombia
Guittard,"Los Rios, Quevedo",93,2006,65%,U.S.A.,3.5,Forastero (Arriba),Ecuador
Guittard,"Sambirano, Ambanja",87,2006,65%,U.S.A.,3.5,"Criollo, +",Madagascar
Guittard,Sur del Lago,87,2006,65%,U.S.A.,2.5,"Trinitario, Criollo",Venezuela
Guittard,Tsaranta,93,2006,61%,U.S.A.,3.5,Blend,Martinique
Guittard,Semisweet,99,2006,61%,U.S.A.,3.0,Blend,Nicaragua
Guittard,Quetzalcoatl,147,2007,72%,U.S.A.,3.5,Blend,Nigeria
Guittard,Machu Pichu,259,2008,65%,U.S.A.,3.0,Forastero (Arriba),Peru
Guittard,Ocumare,276,2008,65%,U.S.A.,3.5,Blend,Venezuela
Guittard,Special Maker Reserve,276,2008,64%,U.S.A.,3.0,Forastero (Arriba),Puerto Rico
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",316,2009,55%,U.S.A.,3.0,Forastero (Arriba) ASSS,Hawaii
Guittard,Complexite,387,2009,70%,U.S.A.,3.5,Blend,Gabon
Guittard,Nocturne,387,2009,91%,U.S.A.,3.0,"Trinitario, Forastero",Bolivia
Guittard,Trinidad,552,2010,65%,U.S.A.,3.0,Trinitario,Trinidad
Guittard,Lever du Soleil,654,2011,61%,U.S.A.,3.25,Amazon,Vietnam
Guittard,Onyx,654,2011,72%,U.S.A.,3.25,Forastero (Nacional),Peru
Guittard,Coucher du Soleil,654,2011,72%,U.S.A.,2.75,Matina,Blend
Guittard,Ecuador,1053,2013,65%,U.S.A.,3.5,Criollo (Wild),Ecuador
Guittard,Haiti,1053,2013,65%,U.S.A.,2.75,Trinitario (Scavina),Haiti
Guittard,Jamaica,1053,2013,65%,U.S.A.,3.25,Trinitario,Jamaica
Guittard,Nicaragua,1053,2013,65%,U.S.A.,2.75,"Criollo, Forastero",Nicaragua
Guittard,"Epique, Blend No. 49",1602,2015,70%,U.S.A.,3.75,"Blend-Forastero,Criollo",Puerto Rico
Habitual,Dominican Republic,1197,2014,75%,Canada,3.25,"Criollo, Trinitario",Dominican Republic
Habitual,Sharkey,1201,2014,66%,Canada,3.25,"Amazon, ICS",Hawaii
Habitual,Papua New Guinea,1197,2014,80%,Canada,2.75,Trinitario (Amelonado),Papua New Guinea
Habitual,Trinitario,1197,2014,70%,Canada,3.5,Trinitario,Blend
Habitual,Africa meets Latina,1201,2014,70%,Canada,3.0,Criollo (Ocumare),"Peru, Madagascar"
